GPSpoint,DistPrevious,DistTransect,DepthText,Depth,Nada,Description,UTMn,UTMe,Name,Site,Latitude,Longitude,Elvation,DateTime
465,11,1117,222,222,,Floating mat with shrubs,7175237,437003,TD-T7-465,Thawed,64.69604401,-148.321001,126.015511,2017-10-05T22:00:04Z
466,10,1127,222,222,,Floating mat with shrubs,7175228,436999,TD-T7-466,Thawed,64.69596103,-148.321073,124.86145,2017-10-05T22:01:00Z
467,4,1131,241,241,,Floating mat with shrubs,7175232,436999,TD-T7-467,Thawed,64.69599799,-148.321071,125.854187,2017-10-05T22:01:35Z
468,15,1146,>250,250,,Floating mat with shrubs,7175217,437001,TD-T7-468,Thawed,64.69586497,-148.321016,125.383217,2017-10-05T22:02:15Z
469,6,1152,,103,,Floating mat with shrubs; to left 3 m is 66cm; to right 3 m is >250,7175213,437006,TD-T7-469,Thawed,64.695826,-148.320918,125.851067,2017-10-05T22:02:48Z
470,13,1166,>250,250,,Floating mat with shrubs,7175201,437013,TD-T7-470,Thawed,64.69572801,-148.320757,125.542046,2017-10-05T22:04:30Z
471,9,1175,>250,250,,Floating mat with shrubs,7175194,437019,TD-T7-471,Thawed,64.69566498,-148.320629,125.799904,2017-10-05T22:05:12Z
472,16,1191,>250,250,,Floating mat with shrubs; not as floating; silt at depth?,7175193,437035,TD-T7-472,Thawed,64.695654,-148.320299,125.37986,2017-10-05T22:05:58Z
473,16,1207,>250,250,,Floating mat with shrubs,7175184,437049,TD-T7-473,Thawed,64.69558099,-148.32,125.775696,2017-10-05T22:07:13Z
474,10,1218,>250,250,,Floating mat with shrubs,7175181,437059,TD-T7-474,Thawed,64.69554998,-148.319793,125.574524,2017-10-05T22:07:49Z
475,4,1222,247,247,,Near mound at edge of thermokarst,7175179,437062,TD-T7-475,Thawed,64.69553598,-148.31972,124.696526,2017-10-05T22:08:14Z
476,3,1225,222,222,,,7175177,437065,TD-T7-476,Thawed,64.69551897,-148.319664,124.576607,2017-10-05T22:08:40Z
477,3,1228,52,52,,"Sedge, shrub, tamarack, shrub, mound",7175177,437068,TD-T7-477,Pfrost,64.69551603,-148.319599,126.039833,2017-10-05T22:08:56Z
478,3,1231,57,57,,,7175177,437071,TD-T7-478,Pfrost,64.69551997,-148.319533,125.516846,2017-10-05T22:09:46Z
479,5,1236,99,99,,Thermokarst edge?,7175174,437075,TD-T7-479,Thawed,64.69549298,-148.319446,125.014343,2017-10-05T22:10:21Z
480,5,1242,101,101,,,7175172,437081,TD-T7-480,Thawed,64.69547597,-148.319338,124.662674,2017-10-05T22:10:40Z
481,7,1249,72,72,,,7175169,437087,TD-T7-481,Pfrost,64.695453,-148.319192,126.465317,2017-10-05T22:11:06Z
482,8,1258,57,57,,,7175165,437095,TD-T7-482,Pfrost,64.69541796,-148.319036,125.58123,2017-10-05T22:11:29Z
483,0,1258,53,53,,Tussocks; Photo 7,7175269,437163,TD-T4-483,Pfrost,64.696359,-148.317643,125.582596,2017-10-05T22:17:59Z
484,29,1287,65,65,,"Shrubs, sedge, tussocks, moss",7175266,437134,TD-T4-484,Pfrost,64.69633101,-148.318249,124.601685,2017-10-05T22:21:15Z
485,22,1309,56,56,,"Shrubs, sedge, tussocks, moss",7175253,437117,TD-T4-485,Pfrost,64.69621299,-148.318616,124.64006,2017-10-05T22:22:14Z
486,28,1337,63,63,,"Shrubs, sedge, tussocks, moss",7175225,437112,TD-T4-486,Pfrost,64.69596203,-148.318707,124.258263,2017-10-05T22:23:32Z
487,20,1356,52,52,,"Shrubs, sedge, tussocks, moss",7175221,437093,TD-T4-487,Pfrost,64.69591602,-148.319102,124.168442,2017-10-05T22:24:41Z
488,25,1382,54,54,,"Shrubs, sedge, tussocks, moss",7175211,437070,TD-T4-488,Pfrost,64.695826,-148.319586,124.172287,2017-10-05T22:25:52Z
489,5,1386,77,77,,"Thermokarst edge; sphagnum, sedge, shrubs, spruce to 1 m",7175210,437065,TD-T4-489,Thawed,64.695812,-148.319682,124.143845,2017-10-05T22:27:51Z
490,3,1390,123,123,,Thermokarst,7175208,437062,TD-T4-490,Thawed,64.69580001,-148.319749,123.59391,2017-10-05T22:28:08Z
491,4,1394,112,112,,Standing water; flooded tussocks and shrubs,7175206,437059,TD-T4-491,Thawed,64.69577302,-148.31981,123.365067,2017-10-05T22:29:03Z
492,7,1401,79,79,,,7175201,437053,TD-T4-492,Thawed,64.69573497,-148.31992,123.66246,2017-10-05T22:29:46Z
493,5,1406,139,139,,"Flooded forest, all dead spruce to 5 m; Photo 8",7175198,437049,TD-T4-493,Thawed,64.69570496,-148.320009,123.242218,2017-10-05T22:30:10Z
494,6,1412,>250,250,,Thermokarst,7175195,437044,TD-T4-494,Thawed,64.69567202,-148.320104,123.862854,2017-10-05T22:31:00Z
495,30,1442,>250,250,,Thermokarst,7175175,437022,TD-T4-495,Thawed,64.69549298,-148.320562,124.036491,2017-10-05T22:31:47Z
496,23,1464,>250,250,,Thermokarst,7175160,437006,TD-T4-496,Thawed,64.69535301,-148.320905,123.852722,2017-10-05T22:32:48Z
497,17,1481,>250,250,,Thermokarst,7175150,436992,TD-T4-497,Thawed,64.69526198,-148.321187,124.323029,2017-10-05T22:33:48Z
498,21,1502,>250,250,,Thermokarst,7175134,436979,TD-T4-498,Thawed,64.69511404,-148.321448,124.226051,2017-10-05T22:34:34Z
499,18,1519,>250,250,,Thermokarst,7175120,436968,TD-T4-499,Thawed,64.694993,-148.321684,124.461555,2017-10-05T22:35:01Z
500,3,1523,246,246,,Thermokarst edge,7175118,436965,TD-T4-500,Thawed,64.69497196,-148.321735,123.191086,2017-10-05T22:36:54Z
501,3,1526,205,205,,Thermokarst edge,7175116,436963,TD-T4-501,Thawed,64.69495302,-148.321783,123.476448,2017-10-05T22:37:19Z
502,3,1529,159,159,,Thermokarst edge,7175113,436962,TD-T4-502,Thawed,64.69492896,-148.321793,123.713524,2017-10-05T22:37:42Z
503,3,1531,122,122,,Sphagnum with shrubs; edge; Photo 9,7175111,436961,TD-T4-503,Thawed,64.69490801,-148.321819,124.134056,2017-10-05T22:38:04Z
504,4,1535,66,66,,"Sphagnum with grass, stable ground photo 10",7175108,436958,TD-T4-504,Pfrost,64.69488303,-148.321872,123.519875,2017-10-05T22:38:37Z
505,14,1548,85,85,,,7175100,436948,TD-T4-505,Pfrost,64.69480399,-148.322087,124.427727,2017-10-05T22:39:58Z
506,12,1561,65,65,,Thermokarst edge,7175094,436937,TD-T4-506,Pfrost,64.69474901,-148.322308,124.70723,2017-10-05T22:40:31Z
507,2,1562,58,58,,,7175093,436936,TD-T4-507,Pfrost,64.69473702,-148.322328,123.286682,2017-10-05T22:40:55Z
508,7,1569,104,104,,Flooded ,7175090,436930,TD-T4-508,Pfrost,64.69471296,-148.322466,124.290642,2017-10-05T22:41:23Z
509,10,1580,83,83,,"Black spruce to 4 m, no standing water",7175084,436922,TD-T4-509,Pfrost,64.69465303,-148.322631,125.586555,2017-10-05T22:41:54Z
510,10,1590,120,120,,"Black spruce to 4 m, no standing water",7175074,436916,TD-T4-510,Pfrost,64.69457097,-148.322735,125.346718,2017-10-05T22:42:15Z
511,11,1601,118,118,,"Black spruce to 4 m, no standing water",7175065,436912,TD-T4-511,Pfrost,64.69448598,-148.322831,124.248444,2017-10-05T22:42:47Z
512,13,1614,90,90,,"Black spruce to 4 m, no standing water",7175056,436902,TD-T4-512,Pfrost,64.69439898,-148.32302,124.895668,2017-10-05T22:43:19Z
513,16,1630,86,86,,,7175042,436894,TD-T4-513,Pfrost,64.694274,-148.323193,124.215637,2017-10-05T22:44:34Z
